out_name,frequency,units,long_name,standard_name,comment,cell_methods,cell_measures,dimensions,type,positive,valid_min,valid_max,ok_min_mean_abs,ok_max_mean_abs,realm
tas,mon,K,Near-Surface Air Temperature,air_temperature,"near-surface (usually, 2 meter) air temperature",area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,,atmos
tas,day,K,Near-Surface Air Temperature,air_temperature,"near-surface (usually, 2 meter) air temperature",area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,,atmos
tas,1hr,K,Near-Surface Air Temperature,air_temperature,"near-surface (usually, 2 meter) air temperature",area: mean time: point,area: areacella,longitude latitude time1 height2m,real,,,,,,atmos
tasmax,mon,K,Daily Maximum Near-Surface Air Temperature,air_temperature,"maximum near-surface (usually, 2 meter) air temperature (add cell_method attribute 'time: max')",area: mean time: maximum within days time: mean over days,area: areacella,longitude latitude time height2m,real,,,,,,atmos
tasmax,day,K,Daily Maximum Near-Surface Air Temperature,air_temperature,"maximum near-surface (usually, 2 meter) air temperature (add cell_method attribute 'time: max')",area: mean time: maximum,area: areacella,longitude latitude time height2m,real,,,,,,atmos
tasmin,mon,K,Daily Minimum Near-Surface Air Temperature,air_temperature,"minimum near-surface (usually, 2 meter) air temperature (add cell_method attribute 'time: min')",area: mean time: minimum within days time: mean over days,area: areacella,longitude latitude time height2m,real,,,,,,atmos
tasmin,day,K,Daily Minimum Near-Surface Air Temperature,air_temperature,"minimum near-surface (usually, 2 meter) air temperature (add cell_method attribute 'time: min')",area: mean time: minimum,area: areacella,longitude latitude time height2m,real,,,,,,atmos
pr,mon,kg m-2 s-1,Precipitation,precipitation_flux,includes both liquid and solid phases,area: time: mean,area: areacella,longitude latitude time,real,,,,,,atmos
pr,day,kg m-2 s-1,Precipitation,precipitation_flux,includes both liquid and solid phases,area: time: mean,area: areacella,longitude latitude time,real,,,,,,atmos
pr,1hr,kg m-2 s-1,Precipitation,precipitation_flux,includes both liquid and solid phases,area: time: mean,area: areacella,longitude latitude time,real,,,,,,atmos
evspsbl,mon,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,Evaporation at surface (also known as evapotranspiration): flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation),area: time: mean,area: areacella,longitude latitude time,real,,,,,,atmos
evspsbl,day,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,Evaporation at surface (also known as evapotranspiration): flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation),area: time: mean,area: areacella,longitude latitude time,real,,,,,,atmos
evspsbl,1hr,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,,area: time: mean,area: areacella,longitude latitude time,real,,,,,,atmos
huss,mon,1,Near-Surface Specific Humidity,specific_humidity,"Near-surface (usually, 2 meter) specific humidity.",area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,,atmos
huss,day,1,Near-Surface Specific Humidity,specific_humidity,"Near-surface (usually, 2 meter) specific humidity.",area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,,atmos
huss,1hr,1,Near-Surface Specific Humidity,specific_humidity,,area: mean time: point,area: areacella,longitude latitude time1 height2m,real,,,,,,atmos
hurs,mon,%,Near-Surface Relative Humidity,relative_humidity,"The relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.",area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,,atmos
hurs,day,%,Near-Surface Relative Humidity,relative_humidity,"The relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.",area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,,atmos
hurs,1hr,%,Near-Surface Relative Humidity,relative_humidity,,area: mean time: point,area: areacella,longitude latitude time1 height2m,real,,,,,,atmos
ps,mon,Pa,Surface Air Pressure,surface_air_pressure,"surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates",area: time: mean,area: areacella,longitude latitude time,real,,,,,,atmos
ps,day,Pa,Surface Air Pressure,surface_air_pressure,"surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates",area: time: mean,area: areacella,longitude latitude time,real,,,,,,atmos
ps,1hr,Pa,Surface Air Pressure,surface_air_pressure,"surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates",area: mean time: point,area: areacella,longitude latitude time1,real,,,,,,atmos
psl,mon,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,Sea Level Pressure,area: time: mean,area: areacella,longitude latitude time,real,,,,,,atmos
psl,day,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,Sea Level Pressure,area: time: mean,area: areacella,longitude latitude time,real,,,,,,atmos
psl,1hr,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,Sea Level Pressure,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,,atmos
sfcWind,mon,m s-1,Near-Surface Wind Speed,wind_speed,"near-surface (usually, 10 meters) wind speed.",area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,,atmos
sfcWind,day,m s-1,Near-Surface Wind Speed,wind_speed,"near-surface (usually, 10 meters) wind speed.",area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,,atmos
sfcWind,1hr,m s-1,Near-Surface Wind Speed,wind_speed,,area: mean time: point,area: areacella,longitude latitude time1 height10m,real,,,,,,atmos
uas,mon,m s-1,Eastward Near-Surface Wind,eastward_wind,"Eastward component of the near-surface (usually, 10 meters)  wind",area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,,atmos
uas,day,m s-1,Eastward Near-Surface Wind,eastward_wind,"Eastward component of the near-surface (usually, 10 meters)  wind",area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,,atmos
uas,1hr,m s-1,Eastward Near-Surface Wind,eastward_wind,,area: mean time: point,area: areacella,longitude latitude time1 height10m,real,,,,,,atmos
vas,mon,m s-1,Northward Near-Surface Wind,northward_wind,Northward component of the near surface wind,area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,,atmos
vas,day,m s-1,Northward Near-Surface Wind,northward_wind,Northward component of the near surface wind,area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,,atmos
vas,1hr,m s-1,Northward Near-Surface Wind,northward_wind,,area: mean time: point,area: areacella,longitude latitude time1 height10m,real,,,,,,atmos
clt,mon,%,Total Cloud Cover Percentage,cloud_area_fraction,"Total cloud area fraction (reported as a percentage) for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Includes both large-scale and convective cloud.",area: time: mean,area: areacella,longitude latitude time,real,,,,,,atmos
clt,day,%,Total Cloud Cover Percentage,cloud_area_fraction,"Total cloud area fraction (reported as a percentage) for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Includes both large-scale and convective cloud.",area: time: mean,area: areacella,longitude latitude time,real,,,,,,atmos
clt,1hr,%,Total Cloud Cover Percentage,cloud_area_fraction,,area: time: mean,area: areacella,longitude latitude time,real,,,,,,atmos
rsds,mon,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,Surface solar irradiance for UV calculations.,area: time: mean,area: areacella,longitude latitude time,real,down,,,,,atmos
rsds,day,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,Surface solar irradiance for UV calculations.,area: time: mean,area: areacella,longitude latitude time,real,down,,,,,atmos
rsds,1hr,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,,atmos
rlds,mon,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,"The surface called 'surface' means the lower boundary of the atmosphere. 'longwave' means longwave radiation. Downwelling radiation is radiation from above. It does not mean 'net downward'. When thought of as being incident on a surface, a radiative flux is sometimes called 'irradiance'. In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called 'vector irradiance'. In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics.",area: time: mean,area: areacella,longitude latitude time,real,down,,,,,atmos
rlds,day,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,"The surface called 'surface' means the lower boundary of the atmosphere. 'longwave' means longwave radiation. Downwelling radiation is radiation from above. It does not mean 'net downward'. When thought of as being incident on a surface, a radiative flux is sometimes called 'irradiance'. In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called 'vector irradiance'. In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics.",area: time: mean,area: areacella,longitude latitude time,real,down,,,,,atmos
rlds,1hr,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,,atmos
orog,fx,m,Surface Altitude,surface_altitude,"The surface called 'surface' means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level.",area: mean,area: areacella,longitude latitude,real,,,,,,atmos
sftlf,fx,%,Percentage of the Grid Cell Occupied by Land,land_area_fraction,Percentage of horizontal area occupied by land.,area: mean,area: areacella,longitude latitude,real,,,,,,atmos
ts,mon,K,Surface Temperature,surface_temperature,Temperature of the lower boundary of the atmosphere,area: time: mean,area: areacella,longitude latitude time,real,,,,,,atmos
ts,day,K,Surface Temperature,surface_temperature,Temperature of the lower boundary of the atmosphere,area: time: mean,area: areacella,longitude latitude time,real,,,,,,atmos
ts,1hr,K,Surface Temperature,surface_temperature,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,,atmos
tsl,mon,K,Temperature of Soil,soil_temperature,Temperature of soil. Reported as missing for grid cells with no land.,area: mean where land time: mean,area: areacella,longitude latitude sdepth time,real,,,,,,atmos
tsl,day,K,Temperature of Soil,soil_temperature,Temperature of soil. Reported as missing for grid cells with no land.,area: mean where land time: mean,area: areacella,longitude latitude sdepth time,real,,,,,,atmos
tsl,6hr,K,Temperature of Soil,soil_temperature,Temperature of soil. Reported as missing for grid cells with no land.,area: mean where land time: point,area: areacella,longitude latitude sdepth time1,real,,,,,,atmos
